"LLM_id","marginal_true_value","marginal_estimate_rf","marginal_lower_rf","marginal_upper_rf","marginal_estimate_glmm","marginal_lower_glmm","marginal_upper_glmm","marginal_error_rf","marginal_error_glmm","marginal_coverage_rf","marginal_coverage_glmm","run_id"
"LLM_a",0.662704921970136,0.66875,0.573134781048997,0.764365218951003,0.662308120516976,0.573962528679222,0.740613025991994,0.00604507802986398,-0.000396801453159568,TRUE,TRUE,0
"LLM_b",0.556797284572957,0.5875,0.50057239843633,0.67442760156367,0.579357132835593,0.483711980475373,0.669393886641158,0.0307027154270434,0.0225598482626359,TRUE,TRUE,0
"LLM_c",0.653379810661843,0.678125,0.583224962707237,0.773025037292763,0.67195077266999,0.580199528948006,0.752213047002188,0.0247451893381565,0.0185709620081461,TRUE,TRUE,0
"LLM_d",0.90634542065706,0.878125,0.817742479557245,0.938507520442756,0.879641544408112,0.815106945138071,0.92375805259467,-0.0282204206570604,-0.0267038762489489,TRUE,TRUE,0
"LLM_e",0.813591904104954,0.78125,0.697418101617183,0.865081898382817,0.778747437623862,0.697800466460943,0.842893690951762,-0.0323419041049536,-0.034844466481092,TRUE,TRUE,0
"LLM_f",0.600719403652454,0.628125,0.535586084467131,0.720663915532869,0.620685698931931,0.528499164504901,0.704911928538135,0.0274055963475461,0.0199662952794767,TRUE,TRUE,0
"LLM_a",0.764046640063735,0.8,0.735475582484952,0.864524417515048,0.796661202632274,0.730526255187824,0.849900095588473,0.0359533599362647,0.0326145625685389,TRUE,TRUE,1
"LLM_b",0.686902478034016,0.7125,0.642844872755314,0.782155127244686,0.708244958461742,0.626364020497984,0.778526698829715,0.0255975219659841,0.0213424804277265,TRUE,TRUE,1
"LLM_c",0.560161166125419,0.55625,0.458347822878057,0.654152177121943,0.55344688460522,0.466772418139934,0.636989489832165,-0.00391116612541942,-0.00671428152019937,TRUE,TRUE,1
"LLM_d",0.737710133685258,0.778125,0.696403235795532,0.859846764204468,0.774431380153512,0.701716486226031,0.833622901381867,0.0404148663147418,0.0367212464682535,TRUE,TRUE,1
"LLM_e",0.624572456954509,0.640625,0.561088637708318,0.720161362291682,0.636678925393477,0.554758568551941,0.711368696947663,0.0160525430454912,0.0121064684389682,TRUE,TRUE,1
"LLM_f",0.679334004816844,0.721875,0.646409999356691,0.797340000643309,0.717644281192265,0.640805695581397,0.783596559191021,0.0425409951831561,0.0383102763754208,TRUE,TRUE,1
"LLM_a",0.816280496359537,0.80625,0.732175704923593,0.880324295076407,0.806616230839341,0.73777518970648,0.860794642563493,-0.0100304963595367,-0.00966426552019561,TRUE,TRUE,2
"LLM_b",0.713399409244148,0.709375,0.624263614230038,0.794486385769962,0.710219934302924,0.625714569455442,0.782284492587857,-0.00402440924414837,-0.0031794749412245,TRUE,TRUE,2
"LLM_c",0.570862958688031,0.5125,0.431123704236761,0.593876295763238,0.513575744653121,0.431376190442942,0.595047435066186,-0.0583629586880311,-0.0572872140349097,TRUE,TRUE,2
"LLM_d",0.665017484920408,0.640625,0.561088637708318,0.720161362291682,0.641634721520896,0.55377086494717,0.720916907786388,-0.0243924849204082,-0.0233827633995124,TRUE,TRUE,2
"LLM_e",0.760154254987904,0.734375,0.654838637708318,0.813911362291682,0.735140800045571,0.657489104901445,0.800528798942174,-0.0257792549879039,-0.0250134549423324,TRUE,TRUE,2
"LLM_f",0.740561102697882,0.73125,0.659081111934128,0.803418888065872,0.732026191115114,0.651029001348913,0.799999097718189,-0.00931110269788193,-0.00853491158276765,TRUE,TRUE,2
"LLM_a",0.707100628031952,0.709375,0.623306066049071,0.795443933950928,0.710888314203529,0.633067226929746,0.777992645609555,0.00227437196804758,0.0037876861715771,TRUE,TRUE,3
"LLM_b",0.719010488200897,0.728125,0.651367834819062,0.804882165180938,0.729910728476024,0.652023611397825,0.795823603405325,0.00911451179910294,0.0109002402751267,TRUE,TRUE,3
"LLM_c",0.508171880638489,0.48125,0.383935577109145,0.578564422890855,0.481215159558885,0.400201663291752,0.56322854774448,-0.026921880638489,-0.0269567210796037,TRUE,TRUE,3
"LLM_d",0.8049942064281,0.78125,0.713051445529542,0.849448554470458,0.78316495849515,0.70732819443416,0.843693443038579,-0.0237442064281003,-0.0218292479329504,TRUE,TRUE,3
"LLM_e",0.639978622539412,0.65625,0.565833292402185,0.746666707597815,0.657450741145968,0.569585237694172,0.735702334736401,0.0162713774605877,0.0174721186065561,TRUE,TRUE,3
"LLM_f",0.845586865870767,0.8375,0.783788959177079,0.891211040822921,0.839062888530902,0.77077314078042,0.889913910991948,-0.00808686587076735,-0.00652397733986532,TRUE,TRUE,3
"LLM_a",0.660579038629973,0.696875,0.618011261728562,0.775738738271438,0.702256092476571,0.616552836460194,0.775770492454788,0.0362959613700268,0.041677053846598,TRUE,TRUE,4
"LLM_b",0.493285549003413,0.528125,0.428341660609045,0.627908339390955,0.538712434726484,0.447413106931519,0.627486506282184,0.0348394509965872,0.0454268857230709,TRUE,TRUE,4
"LLM_c",0.859095251118812,0.865625,0.811015481692588,0.920234518307412,0.863048475516326,0.792176411515954,0.912423627509912,0.00652974888118774,0.00395322439751356,TRUE,TRUE,4
"LLM_d",0.634137746865443,0.65,0.565948422368677,0.734051577631323,0.657448812637212,0.566441566100674,0.738182672087961,0.0158622531345569,0.0233110657717684,TRUE,TRUE,4
"LLM_e",0.753140378263659,0.8,0.727124803382645,0.872875196617355,0.800192426092194,0.722647809201193,0.860249176543149,0.0468596217363412,0.0470520478285356,TRUE,TRUE,4
"LLM_f",0.532813561042038,0.55,0.455570718710402,0.644429281289598,0.560320294311068,0.468493184600782,0.648195921830313,0.0171864389579625,0.0275067332690309,TRUE,TRUE,4
"LLM_a",0.701519103450076,0.628125,0.548950109818354,0.707299890181646,0.629450181053954,0.54671529694314,0.705226101439977,-0.0733941034500759,-0.0720689223961223,TRUE,TRUE,5
"LLM_b",0.724295126210955,0.709375,0.620035432592102,0.798714567407897,0.710185172702509,0.625122221671591,0.782657369635284,-0.0149201262109552,-0.0141099535084461,TRUE,TRUE,5
"LLM_c",0.673689148217341,0.659375,0.566614937263168,0.752135062736832,0.660618799759618,0.576058839754169,0.736040776813532,-0.0143141482173409,-0.0130703484577233,TRUE,TRUE,5
"LLM_d",0.856647576914816,0.803125,0.727443106505929,0.878806893494071,0.803152899008072,0.726620506855979,0.862319753433811,-0.0535225769148164,-0.0534946779067448,TRUE,TRUE,5
"LLM_e",0.523705331991009,0.509375,0.426705994452163,0.592044005547837,0.511521895502897,0.425570216406852,0.596797609416475,-0.0143303319910086,-0.0121834364881113,TRUE,TRUE,5
"LLM_f",0.502229960892866,0.465625,0.371548970403774,0.559701029596226,0.467849693613139,0.386179231106772,0.551279955115677,-0.0366049608928661,-0.0343802672797273,TRUE,TRUE,5
"LLM_a",0.630337158578106,0.60625,0.508515391981841,0.703984608018159,0.608709497152132,0.524672035885997,0.686759609672334,-0.0240871585781062,-0.0216276614259741,TRUE,TRUE,6
"LLM_b",0.609396734397687,0.603125,0.50524898663948,0.70100101336052,0.60581789408395,0.518130140252338,0.687182618382607,-0.00627173439768702,-0.00357884031373734,TRUE,TRUE,6
"LLM_c",0.668467455018415,0.65,0.567921739207131,0.732078260792869,0.652690108386219,0.563600084345038,0.732233505982871,-0.0184674550184154,-0.015777346632196,TRUE,TRUE,6
"LLM_d",0.649710079655469,0.63125,0.542111331356383,0.720388668643617,0.63395476790217,0.545401781191984,0.714294269198106,-0.018460079655469,-0.0157553117532994,TRUE,TRUE,6
