"LLM_id","marginal_true_value","marginal_estimate_rf","marginal_lower_rf","marginal_upper_rf","marginal_estimate_glmm","marginal_lower_glmm","marginal_upper_glmm","marginal_error_rf","marginal_error_glmm","marginal_coverage_rf","marginal_coverage_glmm","run_id"
"LLM_a",0.897337483101737,0.896875,0.862370139659197,0.931379860340803,0.896794842359445,0.85792421130631,0.925948749413537,-0.000462483101737243,-0.00054264074229271,TRUE,TRUE,0
"LLM_b",0.657013584806489,0.653125,0.591322327611228,0.714927672388772,0.656846338046793,0.589982426287506,0.718017879274226,-0.0038885848064889,-0.000167246759696149,TRUE,TRUE,0
"LLM_c",0.655948247088855,0.6734375,0.611711147426303,0.735163852573697,0.677060095858824,0.614297466836028,0.734031628531418,0.0174892529111448,0.0211118487699684,TRUE,TRUE,0
"LLM_d",0.318346849952322,0.340625,0.273650138526188,0.407599861473812,0.34231006821648,0.283226760811875,0.406724797887602,0.022278150047678,0.0239632182641581,TRUE,TRUE,0
"LLM_a",0.632926898400764,0.6953125,0.635791592770234,0.754833407229766,0.693672834503576,0.636934272088967,0.745093115898639,0.0623856015992363,0.0607459361028119,FALSE,FALSE,1
"LLM_b",0.744423358596251,0.8125,0.763813284708391,0.861186715291609,0.81189966743773,0.761030996375127,0.854017171047527,0.0680766414037488,0.0674763088414791,FALSE,FALSE,1
"LLM_c",0.677371191263898,0.7453125,0.692302402217523,0.798322597782477,0.743994471062912,0.686531090603588,0.794083487041713,0.0679413087361023,0.0666232797990145,FALSE,FALSE,1
"LLM_d",0.78750250684827,0.8328125,0.787040963180508,0.878584036819492,0.832511116154723,0.783888269118343,0.871980920412284,0.0453099931517303,0.0450086093064537,TRUE,TRUE,1
"LLM_a",0.737414753581689,0.740625,0.684329524154719,0.796920475845281,0.736197118468018,0.6812708729403,0.784649994236244,0.00321024641831069,-0.00121763511367112,TRUE,TRUE,2
"LLM_b",0.793419681639811,0.796875,0.7481128987815,0.8456371012185,0.793643175232252,0.740445695027216,0.838318250938211,0.00345531836018909,0.000223493592441226,TRUE,TRUE,2
"LLM_c",0.82021091102541,0.8359375,0.792662952088512,0.879212047911488,0.833855712033514,0.785264729511839,0.873226462393696,0.0157265889745899,0.0136448010081037,TRUE,TRUE,2
"LLM_d",0.59926885142361,0.6,0.536105033395599,0.663894966604401,0.595020834773824,0.530249411931604,0.656644405783,0.000731148576390117,-0.00424801664978625,TRUE,TRUE,2
"LLM_a",0.709666741302515,0.7703125,0.718992328504401,0.821632671495599,0.768056032539409,0.716921626376216,0.812371073262143,0.0606457586974849,0.0583892912368942,FALSE,FALSE,3
"LLM_b",0.701155400552349,0.7515625,0.700042314086734,0.803082685913266,0.748807486544158,0.692754227947784,0.797621954801916,0.0504070994476506,0.0476520859918085,TRUE,TRUE,3
"LLM_c",0.698722243901822,0.7453125,0.695346214956929,0.795278785043071,0.742400451004704,0.687515177537112,0.790581992843198,0.0465902560981778,0.0436782071028814,TRUE,TRUE,3
"LLM_d",0.617641875041998,0.6859375,0.629084742113553,0.742790257886447,0.681790680680792,0.624219115167916,0.734296396721595,0.0682956249580025,0.0641488056387945,FALSE,FALSE,3
"LLM_a",0.771501098948594,0.7953125,0.744221875220154,0.846403124779846,0.796068360621956,0.742168786821482,0.841112486808613,0.0238114010514062,0.0245672616733622,TRUE,TRUE,4
"LLM_b",0.769899659670024,0.8109375,0.765801672428742,0.856073327571258,0.811596936088065,0.762131580374654,0.852763091284045,0.0410378403299757,0.0416972764180406,TRUE,TRUE,4
"LLM_c",0.578097426076647,0.6296875,0.570895135101731,0.688479864898269,0.631824948753245,0.567084648539668,0.692139628040791,0.051590073923353,0.0537275226765976,TRUE,TRUE,4
"LLM_d",0.669753780239685,0.6953125,0.638831375114652,0.751793624885348,0.697028457090612,0.633317637239349,0.753969906011582,0.0255587197603149,0.0272746768509264,TRUE,TRUE,4
"LLM_a",0.673280379474758,0.6390625,0.577574635143396,0.700550364856604,0.643097858227364,0.586307953408598,0.696132279312362,-0.0342178794747577,-0.0301825212473942,TRUE,TRUE,5
"LLM_b",0.6897499215059,0.646875,0.585581589675452,0.708168410324548,0.650847056992954,0.587424465000957,0.709344147673222,-0.0428749215058999,-0.0389028645129463,TRUE,TRUE,5
"LLM_c",0.626125062621379,0.6203125,0.560202080077308,0.680422919922692,0.624669592362302,0.564017908970695,0.68164620341533,-0.00581256262137886,-0.00145547025907711,TRUE,TRUE,5
"LLM_d",0.4378424069981,0.440625,0.372490188909138,0.508759811090862,0.444850859325517,0.384735722991124,0.506624559104415,0.0027825930019002,0.00700845232741748,TRUE,TRUE,5
"LLM_a",0.688151817829861,0.6984375,0.637477592238574,0.759397407761426,0.702313456662043,0.646859754599018,0.752392497220594,0.0102856821701389,0.0141616388321824,TRUE,TRUE,6
"LLM_b",0.744690540614719,0.71875,0.661982372858221,0.775517627141779,0.722497435650225,0.663409837721992,0.774734466631718,-0.0259405406147192,-0.0221931049644938,TRUE,TRUE,6
"LLM_c",0.75274195679424,0.759375,0.711341487434133,0.807408512565867,0.762561289585082,0.705990428060815,0.811158794671161,0.00663304320575953,0.00981933279084191,TRUE,TRUE,6
"LLM_d",0.57808554042545,0.5546875,0.490114904812421,0.61926009518758,0.55831290941732,0.49592474225366,0.618913033131404,-0.0233980404254499,-0.0197726310081301,TRUE,TRUE,6
"LLM_a",0.839660093541092,0.8703125,0.831868424294855,0.908756575705145,0.87067168505033,0.825801865680727,0.90530921886139,0.0306524064589085,0.0310115915092387,TRUE,TRUE,7
"LLM_b",0.618734964916986,0.64375,0.581769284269499,0.705730715730501,0.644053420369544,0.579239207881436,0.703985844492825,0.0250150350830142,0.0253184554525585,TRUE,TRUE,7
"LLM_c",0.863658770858952,0.871875,0.833806981027276,0.909943018972724,0.87229728615303,0.828591113022862,0.906121805499318,0.00821622914104814,0.00863851529407855,TRUE,TRUE,7
"LLM_d",0.679062686520472,0.728125,0.672353946165686,0.783896053834314,0.728457056396851,0.668528670098934,0.781098395117177,0.0490623134795279,0.0493943698763791,TRUE,TRUE,7
"LLM_a",0.690366708609088,0.690625,0.630918219452492,0.750331780547508,0.693551201006395,0.636959645177192,0.744854789192233,0.000258291390912491,0.00318449239730789,TRUE,TRUE,8
"LLM_b",0.731373706451966,0.70625,0.649898004760943,0.762601995239057,0.708977198758517,0.647306833654521,0.763799001057221,-0.0251237064519659,-0.0223965076934491,TRUE,TRUE,8
"LLM_c",0.658223717349949,0.65625,0.594840839961475,0.717659160038525,0.659542619121067,0.59871635354553,0.715529619235618,-0.00197371734994867,0.00131890177111871,TRUE,TRUE,8
"LLM_d",0.877625075507899,0.8875,0.852761733207831,0.922238266792169,0.887343883802778,0.846901387116344,0.918135779683704,0.00987492449210126,0.00971880829487959,TRUE,TRUE,8
"LLM_a",0.353098818224439,0.3875,0.323268661301985,0.451731338698015,0.386379488752571,0.330147614357128,0.445814673212274,0.0344011817755606,0.0332806705281314,TRUE,TRUE,9
"LLM_b",0.782824063512094,0.8109375,0.76285940048258,0.85901559951742,0.811250810824166,0.75825071458084,0.854855597879453,0.0281134364879055,0.0284267473120714,TRUE,TRUE,9
"LLM_c",0.686041602128741,0.709375,0.652216178644578,0.766533821355422,0.708685587940328,0.647319867307651,0.763278497506456,0.0233333978712592,0.0226439858115871,TRUE,TRUE,9
"LLM_d",0.587296136739546,0.6265625,0.563579462481923,0.689545537518077,0.625270085435203,0.564863136040636,0.682011967204503,0.0392663632604543,0.0379739486956571,TRUE,TRUE,9
"LLM_a",0.736683424951386,0.734375,0.679382143930627,0.789367856069373,0.735258215186195,0.681901314528281,0.782519612574051,-0.00230842495138606,-0.00142520976519134,TRUE,TRUE,10
"LLM_b",0.527111808162852,0.528125,0.460858275888638,0.595391724111362,0.52832803368518,0.464132387733956,0.591600213288239,0.00101319183714821,0.0012162255223287,TRUE,TRUE,10
"LLM_c",0.678746914044929,0.684375,0.622890122093672,0.745859877906328,0.685051499400669,0.625455986651242,0.739119684721927,0.00562808595507136,0.00630458535574063,TRUE,TRUE,10
