"LLM_id","marginal_true_value","marginal_estimate_rf","marginal_lower_rf","marginal_upper_rf","marginal_estimate_glmm","marginal_lower_glmm","marginal_upper_glmm","marginal_error_rf","marginal_error_glmm","marginal_coverage_rf","marginal_coverage_glmm","run_id"
"LLM_a",0.794275513291359,0.796875,0.739128889240362,0.854621110759638,0.797131785594147,0.743997007064374,0.84158635384239,0.00259948670864096,0.0028562723027884,TRUE,TRUE,0
"LLM_b",0.565051393397152,0.534375,0.471662184470714,0.597087815529286,0.534995930309009,0.463504206820571,0.605078030141623,-0.0306763933971524,-0.0300554630881437,TRUE,TRUE,0
"LLM_c",0.571815698500723,0.5875,0.523999844625045,0.651000155374955,0.588121799040034,0.515263011127565,0.657312762140188,0.0156843014992774,0.0163061005393117,TRUE,TRUE,0
"LLM_d",0.567668894398958,0.565625,0.497886157031772,0.633363842968228,0.566251107141453,0.497712514627946,0.632345832055589,-0.00204389439895747,-0.00141778725750485,TRUE,TRUE,0
"LLM_a",0.567492026183754,0.61875,0.558733360242699,0.678766639757301,0.61912057753353,0.557112406097183,0.677473114970856,0.0512579738162457,0.051628551349776,TRUE,TRUE,1
"LLM_b",0.761468162853271,0.7875,0.728690367970353,0.846309632029646,0.787698590321884,0.73089927359193,0.835212183148362,0.0260318371467292,0.0262304274686134,TRUE,TRUE,1
"LLM_c",0.54257428906858,0.625,0.565635547834004,0.684364452165996,0.625367467177855,0.555055725302488,0.690758579650844,0.0824257109314203,0.0827931781092757,FALSE,FALSE,1
"LLM_d",0.75322112236172,0.815625,0.764423535162729,0.866826464837271,0.815781473701717,0.756351916472603,0.863334487918055,0.0624038776382804,0.0625603513399978,FALSE,FALSE,1
"LLM_a",0.453283603396267,0.496875,0.427050940369635,0.566699059630365,0.497223261804068,0.43492933329943,0.55960351423069,0.0435913966037333,0.0439396584078012,TRUE,TRUE,2
"LLM_b",0.448518152628094,0.421875,0.354317884637447,0.489432115362553,0.422195235919733,0.355334893212205,0.49203414859755,-0.026643152628094,-0.0263229167083614,TRUE,TRUE,2
"LLM_c",0.752614054083824,0.7125,0.654391342146119,0.770608657853881,0.712767188951308,0.64548819584486,0.771792117577209,-0.0401140540838242,-0.0398468651325163,TRUE,TRUE,2
"LLM_d",0.600062570627779,0.60625,0.545150672910657,0.667349327089342,0.606590411964051,0.540141694021272,0.669315750642122,0.00618742937222116,0.00652784133627227,TRUE,TRUE,2
"LLM_a",0.569148938823491,0.5625,0.497217931268106,0.627782068731894,0.563177985274089,0.497773455849868,0.626456767958184,-0.00664893882349138,-0.00597095354940214,TRUE,TRUE,3
"LLM_b",0.757461707200855,0.790625,0.737537467697194,0.843712532302807,0.79082272429335,0.72812154829588,0.842197533969487,0.033163292799145,0.0333610170924949,TRUE,TRUE,3
"LLM_c",0.674038217961788,0.715625,0.660567089479373,0.770682910520626,0.716024654777757,0.649275746058136,0.774482476018492,0.0415867820382118,0.0419864368159693,TRUE,TRUE,3
"LLM_d",0.627063113357872,0.646875,0.578593876119612,0.715156123880388,0.647430738249499,0.578516587829196,0.710711611201457,0.0198118866421282,0.0203676248916277,TRUE,TRUE,3
"LLM_a",0.584677794389427,0.60625,0.541251015530483,0.671248984469516,0.606987548052976,0.542063478638228,0.668338835203885,0.0215722056105732,0.0223097536635495,TRUE,TRUE,4
"LLM_b",0.620657460391521,0.6125,0.553969750225125,0.671030249774875,0.613223034886463,0.54032835818432,0.681374660939579,-0.00815746039152143,-0.00743442550505868,TRUE,TRUE,4
"LLM_c",0.684368830733001,0.6875,0.624129041412751,0.750870958587249,0.68801334278313,0.621969584763998,0.747208473306015,0.00313116926699875,0.00364451205012895,TRUE,TRUE,4
"LLM_d",0.736758810747415,0.725,0.66022204745124,0.78977795254876,0.725390558729935,0.656255901877272,0.78517237988509,-0.0117588107474149,-0.0113682520174799,TRUE,TRUE,4
"LLM_a",0.574628769140691,0.609375,0.539141325778991,0.679608674221009,0.608655470906282,0.54173388149877,0.671726307546924,0.0347462308593094,0.0340267017655913,TRUE,TRUE,5
"LLM_b",0.743571446463466,0.75625,0.694882985639485,0.817617014360515,0.756127481212669,0.68802598229147,0.81339488901156,0.0126785535365342,0.0125560347492031,TRUE,TRUE,5
"LLM_c",0.403601159341633,0.375,0.307861198971349,0.442138801028651,0.374519786330001,0.305333041553036,0.449245237528913,-0.0286011593416333,-0.0290813730116319,TRUE,TRUE,5
"LLM_d",0.447666034847498,0.46875,0.398772053920474,0.538727946079526,0.467992279373172,0.396074755280694,0.541264691274182,0.021083965152502,0.0203262445256737,TRUE,TRUE,5
"LLM_a",0.51178067214787,0.484375,0.426275157841816,0.542474842158184,0.484628081505846,0.425556572297443,0.544132258199585,-0.0274056721478702,-0.0271525906420246,TRUE,TRUE,6
"LLM_b",0.417568375356495,0.40625,0.335110514893099,0.477389485106901,0.406497674692028,0.346225595075647,0.469723567772671,-0.0113183753564954,-0.0110707006644675,TRUE,TRUE,6
"LLM_c",0.522888366226107,0.515625,0.456131260307727,0.575118739692273,0.515874163107019,0.449977700235095,0.58122320664106,-0.0072633662261069,-0.00701420311908751,TRUE,TRUE,6
"LLM_d",0.61542598856613,0.59375,0.533189597018645,0.654310402981355,0.593975012988895,0.525977073153435,0.658550893420645,-0.0216759885661304,-0.0214509755772353,TRUE,TRUE,6
"LLM_a",0.613845413830131,0.65625,0.583402924239034,0.729097075760966,0.656570498489394,0.595899407573538,0.712526905407733,0.0424045861698686,0.0427250846592629,TRUE,TRUE,7
"LLM_b",0.444778633955866,0.465625,0.403569053228339,0.527680946771661,0.465919192815937,0.400420578853082,0.532614406995088,0.0208463660441339,0.0211405588600708,TRUE,TRUE,7
"LLM_c",0.503327501192689,0.434375,0.363098839483512,0.505651160516488,0.434648884237044,0.366312656092842,0.505562666751081,-0.068952501192689,-0.068678616955645,TRUE,TRUE,7
"LLM_d",0.521908093802631,0.540625,0.470859653064172,0.610390346935828,0.540953890672927,0.472109152341669,0.608270012844993,0.0187169061973691,0.0190457968702961,TRUE,TRUE,7
"LLM_a",0.679297441150993,0.684375,0.631597131482521,0.737152868517479,0.684643622376611,0.62755638861824,0.736652591095152,0.00507755884900685,0.00534618122561747,TRUE,TRUE,8
"LLM_b",0.762378880660981,0.753125,0.698440494333808,0.807809505666192,0.753316202088899,0.690777932539379,0.806744944365752,-0.00925388066098098,-0.00906267857208154,TRUE,TRUE,8
"LLM_c",0.568257090449333,0.578125,0.517606902579506,0.638643097420494,0.57846333693464,0.511460664658205,0.642696290931981,0.00986790955066674,0.0102062464853063,TRUE,TRUE,8
